0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:34 +0530] "GET /pms-web/lib/jquery/jqueryUI/jquery-ui.min.css HTTP/1.1" 200 32076
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:34 +0530] "GET /pms-web/lib/bootstrap-3.3.7/css/bootstrap.css HTTP/1.1" 200 146110
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:34 +0530] "GET /pms-web/lib/jquery/loading/showLoading.css HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:34 +0530] "GET /pms-web/lib/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:34 +0530] "GET /pms-web/lib/toaster/toastr.min.css HTTP/1.1" 200 6888
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:34 +0530] "GET /pms-web/lib/jquery/dataTable/jquery.dataTables.css HTTP/1.1" 200 13899
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:34 +0530] "GET /pms-web/lib/bootstrap-datepicker/datepicker.css HTTP/1.1" 200 33679
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:34 +0530] "GET /pms-web/lib/jquery/multiselect/bootstrap-multiselect.css HTTP/1.1" 200 1509
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:34 +0530] "GET /pms-web/lib/jquery/dataTable/jquery-3.3.js HTTP/1.1" 200 282113
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:34 +0530] "GET /pms-web/lib/select2/css/select2.css HTTP/1.1" 200 17679
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:34 +0530] "GET /pms-web/lib/bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:34 +0530] "GET /pms-web/lib/jquery/loading/jquery.showLoading.js HTTP/1.1" 200 6898
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:34 +0530] "GET /pms-web/lib/toaster/toastr.min.js HTTP/1.1" 200 4322
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:34 +0530] "GET /pms-web/lib/moment/moment.min.js HTTP/1.1" 200 151381
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:36:34 +0530] "GET /pms-web/lib/bootstrap-datepicker/bootstrap-datepicker.js HTTP/1.1" 200 46821
